,id,Year,state_ut,location,so2,no2,pm10,pm25,location_type,region_zone,pm25_subindex,pm10_subindex,so2_subindex,no2_subindex,AQI,AQI_Category
0,0,2020,Delhi,Delhi,,60.0,234.0,145.0,Tier 1 City,North,319.4186046511628,189.36912751677852,,74.87179487179488,319.4186046511628,Very Poor
1,1,2013,Andhra pradesh,Chittoor,4.0,9.0,68.0,,Tier 3 city/town/village,South,,68.0,5.0,11.25,68.0,Satisfactory
2,2,2013,Andhra pradesh,Guntur,4.0,17.0,192.0,,Tier 2 City,South,,161.46308724832215,5.0,21.25,161.46308724832215,Moderate
3,3,2013,Telangana,Hyderabad,6.0,19.0,179.0,,Tier 1 City,South,,152.8255033557047,7.5,23.75,152.8255033557047,Moderate
4,4,2013,Andhra pradesh,Kakinada,13.0,19.0,112.0,,Tier 2 City,South,,108.30872483221476,16.25,23.75,108.30872483221476,Moderate
5,5,2013,Andhra pradesh,Anantapur,4.0,13.0,176.0,,Tier 3 city/town/village,South,,150.83221476510067,5.0,16.25,150.83221476510067,Moderate
6,6,2013,Andhra pradesh,Kadapa,5.0,10.0,92.0,,Tier 3 city/town/village,South,,92.0,6.25,12.5,92.0,Satisfactory
7,7,2013,Telangana,Karimnagar,7.0,12.0,155.0,,Tier 2 City,South,,136.8791946308725,8.75,15.0,136.8791946308725,Moderate
8,8,2013,Telangana,Khammam,4.0,17.0,247.0,,Tier 2 City,South,,198.00671140939596,5.0,21.25,198.00671140939596,Moderate
9,9,2013,Telangana,Nalgonda,4.0,17.0,68.0,,Tier 3 city/town/village,South,,68.0,5.0,21.25,68.0,Satisfactory
10,10,2013,Telangana,nizamabad,5.0,12.0,65.0,,Tier 2 City,South,,65.0,6.25,15.0,65.0,Satisfactory
11,11,2013,Andhra pradesh,Prakasam,4.0,17.0,209.0,,Tier 3 city/town/village,South,,172.75838926174498,5.0,21.25,172.75838926174498,Moderate
12,12,2013,Andhra pradesh,Rajamahendravaram,11.0,17.0,136.0,,Tier 2 City,South,,124.25503355704699,13.75,21.25,124.25503355704699,Moderate
13,13,2013,Andhra pradesh,Srikakulam,11.0,16.0,212.0,,Tier 3 city/town/village,South,,174.75167785234902,13.75,20.0,174.75167785234902,Moderate
14,14,2013,Andhra pradesh,Vizianagaram,13.0,19.0,261.0,,Tier 3 city/town/village,South,,211.0,16.25,23.75,211.0,Poor
15,15,2013,Andhra pradesh,Kurnool,4.0,10.0,161.0,,Tier 2 City,South,,140.86577181208054,5.0,12.5,140.86577181208054,Moderate
16,16,2013,Andhra pradesh,Nellore,5.0,17.0,155.0,,Tier 2 City,South,,136.8791946308725,6.25,21.25,136.8791946308725,Moderate
17,17,2013,Andhra pradesh,Eluru,6.0,15.0,538.0,,Tier 3 city/town/village,South,,,7.5,18.75,18.75,Good
18,18,2013,Telangana,Patencheru,6.0,24.0,160.0,,Tier 3 city/town/village,South,,140.2013422818792,7.5,30.0,140.2013422818792,Moderate
19,19,2013,Telangana,Ramagundam,10.0,15.0,292.0,,Tier 2 City,South,,242.0,12.5,18.75,242.0,Poor
20,20,2013,Andhra pradesh,Tirupati,4.0,9.0,66.0,,Tier 2 City,South,,66.0,5.0,11.25,66.0,Satisfactory
21,21,2013,Andhra pradesh,Vijayawada,5.0,20.0,145.0,,Tier 2 City,South,,130.23489932885906,6.25,25.0,130.23489932885906,Moderate
22,22,2013,Telangana,Warangal,9.0,15.0,107.0,,Tier 2 City,South,,104.98657718120805,11.25,18.75,104.98657718120805,Moderate
23,23,2013,Assam,Bongaigaon,6.0,13.0,70.0,,Tier 3 city/town/village,Northeast,,70.0,7.5,16.25,70.0,Satisfactory
24,24,2013,Assam,Daranga,6.0,14.0,219.0,,Tier 3 city/town/village,Northeast,,179.40268456375838,7.5,17.5,179.40268456375838,Moderate
25,25,2013,Assam,Dibrugarh,7.0,15.0,272.0,,Tier 2 City,Northeast,,222.0,8.75,18.75,222.0,Poor
26,26,2013,Assam,Golaghat,7.0,16.0,277.0,,Tier 3 city/town/village,Northeast,,227.0,8.75,20.0,227.0,Poor
27,27,2013,Assam,Guwahati,7.0,16.0,303.0,,Tier 2 City,Northeast,,253.0,8.75,20.0,253.0,Poor
28,28,2013,Assam,Guwahati,7.0,16.0,303.0,,Tier 2 City,Northeast,,253.0,8.75,20.0,253.0,Poor
29,29,2013,Assam,Margherita,7.0,15.0,254.0,,Tier 3 city/town/village,Northeast,,204.0,8.75,18.75,204.0,Poor
30,30,2013,Assam,Lakhimpur,7.0,16.0,241.0,,Tier 3 city/town/village,Northeast,,194.02013422818794,8.75,20.0,194.02013422818794,Moderate
31,31,2013,Assam,Nagaon,7.0,15.0,261.0,,Tier 3 city/town/village,Northeast,,211.0,8.75,18.75,211.0,Poor
32,32,2013,Assam,Nalbari,7.0,17.0,287.0,,Tier 3 city/town/village,Northeast,,237.0,8.75,21.25,237.0,Poor
33,33,2013,Assam,Sivasagar,7.0,16.0,290.0,,Tier 3 city/town/village,Northeast,,240.0,8.75,20.0,240.0,Poor
